Period,,Volume of delay compensation claims received,Volume of delay compensation claims approved,Value of total delay compensation paid,Average time for claims to be processed in working days,Company
Period 8 (16/10/2022 - 12/11/2022),,"33,383","26,771","£178,674.10",2.2,Southern
Period 9 (13/11/2022 - 10/12/2022),,"29,293","26,336","£165,055.60",2.2,Southern
Period 10 (11/12/2022 - 07/01/2023),,"41,297","26,125","£222,775.80",1.9,Southern
Period 11 (08/01/2023 - 04/02/2023),,"43,962","36,202","£296,073.60",1.9,Southern
Period 12 (05/02/2023 - 04/03/2023),,"31,637","27,423","£208,366.20",1.9,Southern
Period 13 (05/03/2023 - 31/03/2023),,"20,979","18,770","£141,649.10",1.9,Southern
Period 1 (01/04/2023 - 29/04/2023),,"12,490","10,406","£74,951.90",1.9,Southern
Period 2 (30/04/2023 - 27/05/2023),,"22,736","15,695","£152,562.80",1.9,Southern
Period 3 (28/05/2023 - 24/06/2023),,"31,590","24,535","£213,593.90",2.1,Southern
Period 4 (25/06/2023 - 22/07/2023),,"30,593","23,358","£178,699.60",2.1,Southern
Period 5 (23/07/2023 - 19/08/2023),,"22,248","16,638","£145,310.90",2.2,Southern
Period 6 (20/08/2023 - 16/09/2023),,"21,285","17,845","£150,609.70",2.2,Southern
Period 7 (17/09/2023 - 14/10/2023),,"22,381","17,701","£144,964.40",2,Southern
Period 8 (16/10/2022 - 12/11/2022),,634,430,"£3,367.40",2.2,Gatwick Express
Period 9 (13/11/2022 - 10/12/2022),,699,504,"£4,210.50",2.2,Gatwick Express
Period 10 (11/12/2022 - 07/01/2023),,778,504,"£5,872.20",1.9,Gatwick Express
Period 11 (08/01/2023 - 04/02/2023),,"1,082",795,"£8,091.20",1.9,Gatwick Express
Period 12 (05/02/2023 - 04/03/2023),,926,691,"£7,641.00",1.9,Gatwick Express
Period 13 (05/03/2023 - 31/03/2023),,643,646,"£7,095.80",1.9,Gatwick Express
Period 1 (01/04/2023 - 29/04/2023),,344,224,"£2,704.50",1.9,Gatwick Express
Period 2 (30/04/2023 - 27/05/2023),,558,319,"£3,715.00",1.9,Gatwick Express
Period 3 (28/05/2023 - 24/06/2023),,"1,113",730,"£8,155.90",2.1,Gatwick Express
Period 4 (25/06/2023 - 22/07/2023),,813,562,"£5,471.40",2.1,Gatwick Express
Period 5 (23/07/2023 - 19/08/2023),,532,346,"£3,797.80",2.2,Gatwick Express
Period 6 (20/08/2023 - 16/09/2023),,474,344,"£2,843.40",2.2,Gatwick Express
Period 7 (17/09/2023 - 14/10/2023),,359,290,"£2,677.50",2,Gatwick Express
Period 8 (16/10/2022 - 12/11/2022),,"20,471","16,405","£102,303.20",2.2,ThamesLink
Period 9 (13/11/2022 - 10/12/2022),,"22,767","20,434","£122,412.70",2.2,ThamesLink
Period 10 (11/12/2022 - 07/01/2023),,"31,511","20,479","£179,890.80",1.9,ThamesLink
Period 11 (08/01/2023 - 04/02/2023),,"24,768","20,447","£176,429.60",1.9,ThamesLink
Period 12 (05/02/2023 - 04/03/2023),,"22,664","19,329","£147,752.80",1.9,ThamesLink
Period 13 (05/03/2023 - 31/03/2023),,"31,107","28,076","£190,563.10",1.9,ThamesLink
Period 1 (01/04/2023 - 29/04/2023),,"19,408","16,778","£95,453.10",1.9,ThamesLink
Period 2 (30/04/2023 - 27/05/2023),,"22,335","16,782","£145,372.90",1.9,ThamesLink
Period 3 (28/05/2023 - 24/06/2023),,"40,496","31,522","£250,299.50",2.1,ThamesLink
Period 4 (25/06/2023 - 22/07/2023),,"26,217","21,842","£177,520",2.1,ThamesLink
Period 5 (23/07/2023 - 19/08/2023),,"23,480","18,544","£158,479.80",2.2,ThamesLink
Period 6 (20/08/2023 - 16/09/2023),,"25,783","21,423","£185,790.40",2.2,ThamesLink
Period 7 (17/09/2023 - 14/10/2023),,"32,658","26,427","£253,050",2,ThamesLink
